Channel Title,Channel Id,Channel link,videoCount,Pinoybaiting,Notes,Annotated by:
Celinka Updates,UC_2iPQwn_V2SflddzbtalLg,Visit Channel,3,Yes,,Airon Matthew Bantillo
Knox Hill,UC_62jYuKq0O-K66pjrK5jhQ,Visit Channel,2,No,,Ian Gabriel Ilagan
Joel Hansen,UC_9I8ulL_v4SvsXwiVKlzqw,Visit Channel,2,Yes,"The channel contains clear signs of pinoybaiting in terms of its way of gathering the attention of Filipino viewers. First, he has a video of eating at a ""LAS VEGAS BUFFET"" which has the thumbnail text, ""FILIPINO BUFFET"".  Aside from this, the channel seems to have a habit of sneaking in ""Filipino"" in an open and close parentheses after the actual place where he's doing the content. ",Airon Matthew Bantillo
SB19VEVO,UC_d42bAA6Cb0XC3n-N-j60w,Visit Channel,4,No,,Ian Gabriel Ilagan
Fearless & Far,UC_DmOS_FBvO4H27U7X0OtRg,Visit Channel,2,Yes,"This channel usually includes ""FILIPINO"" in his video titles related to pinoy blogs while expressing exaggerations in his thumbnail (Ex: SHOCKING FILIPINO BIRTHDAY FOOD | Pinikpikan in Sagada, Philippines). Visually, this content creator makes it as if he is seemingly disgusted with the featured food to possibly gain the attention of Filipino watchers (so they can check if really likes it or not)",Airon Matthew Bantillo
Merryjuj,UC_nGEYgqzTuyFbHCZELMC2w,Visit Channel,40,Yes,,Ian Gabriel Ilagan
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,Visit Channel,2,No,This channel has no Filipino contents. It is a channel for international video games,Airon Matthew Bantillo
Our Philippine Journey,UC_w5Uck2H8HDd1WgBuESB-w,Visit Channel,3,Yes,,Ian Gabriel Ilagan
Isaac & Andrea Vlogs,UC_YHP03qQytjAfBK6tFcnew,Visit Channel,4,Yes,"This channel has 4 videos that sneaks in ""FILIPINO"" to get the attention of pinoy netizens so they will watch their video. They also pair this term with unrealistic challenges such as ""eating only FILIPINO FOOD for 24 hours"" and they uploaded and reuploaded the same video about their ""first time"" eating a filipino meal to get more viewers",Airon Matthew Bantillo
zaikology,UC-0_V4naPnf3d1z1nCzb95Q,Visit Channel,2,No,It's a channel about kpop,Ian Gabriel Ilagan
Filipino Czech family,UC-0XZzV9y16bKIuWb4qWkCg,Visit Channel,2,Yes,"While the channel may seem to be not pinoybaiting, there are sings that it can be. First, the profile picture ofthe channel itself is a subtle way of falling under the first two qualifications of a pinoybaiting channel. Second, the name also seems to be named that way to bait pinoy yt watchers. And third, they have many contents about ""how"" they do filipino things as a czech family and ""reactions"" to filipino food. (Additionally, they seem to have lower viewers with non Filipino contents)",Airon Matthew Bantillo
Classic Songs,UC-BbHGSJdmh0iXbnfgzE9FA,Visit Channel,2,No,Wrong channel link(?),Ian Gabriel Ilagan
