Channel Title,Channel Id,videoCount,Vote1,Vote2,Vote3,Vote4,Vote5,Pinoybaiting
Celinka Updates,UC_2iPQwn_V2SflddzbtalLg,3,Yes,Yes,Yes,Yes,Yes,yes
Knox Hill,UC_62jYuKq0O-K66pjrK5jhQ,2,No,No,No,No,No,no
Joel Hansen,UC_9I8ulL_v4SvsXwiVKlzqw,2,No,No,Yes,No,No,no
SB19VEVO,UC_d42bAA6Cb0XC3n-N-j60w,4,Yes,No,No,No,No,no
Fearless & Far,UC_DmOS_FBvO4H27U7X0OtRg,2,No,Yes,Yes,Yes,Yes,yes
Merryjuj,UC_nGEYgqzTuyFbHCZELMC2w,40,Yes,Yes,Yes,Yes,Yes,yes
Bandai Namco Entertainment America,UC_ntXHv-XdKCD7CPynVvnQw,2,No,No,No,No,No,no
Our Philippine Journey,UC_w5Uck2H8HDd1WgBuESB-w,3,Yes,Yes,Yes,Yes,Yes,yes
Isaac & Andrea Vlogs,UC_YHP03qQytjAfBK6tFcnew,4,No,Yes,Yes,Yes,Yes,yes
zaikology,UC-0_V4naPnf3d1z1nCzb95Q,2,No,No,No,No,No,no
Filipino Czech family,UC-0XZzV9y16bKIuWb4qWkCg,2,Yes,Yes,Yes,Yes,No,yes
Classic Songs,UC-BbHGSJdmh0iXbnfgzE9FA,2,No,No,No,No,No,no
Fr. Jowel Jomarsus Gatus,UC-BiW9G1BsJV1pm7pA5zc2g,2,No,No,No,No,No,no
IFCGuam,UC-BKXdCFnPmTpljrxxYu7dQ,2,Yes,Yes,Yes,Yes,Yes,yes
Lazisoo,UC-Cf5_vTOtmN8tkR3Bs_TSg,7,Yes,Yes,Yes,Yes,Yes,yes
Amazing Philippines,UC-jq_OD2e2xIcm5RdTrBcNg,3,Yes,Yes,Yes,Yes,No,yes
Yuki Japan (Binisaya ni Yuki),UC-mJgTt3Du5tZIfcCO3vX-Q,2,Yes,Yes,Yes,Yes,Yes,yes
Rare Soul Worldwide,UC-VUzVsTFTXMU7aSf-lEsiA,7,No,Yes,Yes,Yes,Yes,yes
Alex Oh Reacts,UC-wdvwNBuVobJRbISwjA5Hw,4,No,Yes,Yes,Yes,No,yes
Big Guy Appetite,UC-wNjA3exMjeJlEU5TvJ4Tw,7,Yes,Yes,Yes,Yes,Yes,yes
KATCHUP,UC-YjZCIxGE1Al-I2rGTukyA,2,No,No,Yes,No,No,no
Antonius Agus Sirait Official,UC-Z31ZpHeyIPus-cYtFwOiQ,2,No,No,No,No,No,no
Savory Stories,UC-ZBaZ53_4a9DU0HM0T2hyg,2,Yes,Yes,Yes,Yes,Yes,yes
Throga - Vocal Gym,UC01j-4Q2TUyppuhNJ7pnWdA,3,No,No,No,No,No,no
Team CorGi,UC0EQSC9tQA40qM-x9bRj67A,3,Yes,Yes,Yes,Yes,No,yes
IdkSterling,UC0GbKJaeEN9k5CG1NLbN6Ow,14,No,No,No,No,No,no
Melanie Reacts,UC0iTpbJzi9n8Vj3tvPj9aAA,3,No,Yes,No,Yes,No,no
TheJavierLifestyle,UC0kn28AeYnmyMi4iAUIrgiQ,2,Yes,Yes,Yes,Yes,No,yes
EVN REAX,UC0lLKwsajj4Q1EA13ogAJRA,2,Yes,Yes,Yes,Yes,No,yes
Cherry Road,UC0Nr_aAgnVthiy8PJx_tNoQ,2,No,No,No,No,No,no
The Wineding Down Podcast,UC0p8-e3hIdkP4F09hQc1Uow,4,Yes,Yes,Yes,Yes,No,yes
Best Food Around The World,UC16kz8vocutCqYmEoZijW6w,5,No,Yes,No,No,Yes,no
Filipina and the Foreigner,UC17Jl7wAhdRU4Nbd-CO636w,3,Yes,Yes,Yes,Yes,No,yes
Visual_mode,UC1FVueCEU5ORLkWyRpEN0dQ,11,No,Yes,Yes,Yes,No,yes
JinLiaTV,UC1GTMB1_PJjh8ddEzQB8HPA,3,No,No,No,No,No,no
Allen Relevo,UC1LlKAwycO8TjYKJIQo2QZA,3,Yes,Yes,No,Yes,No,yes
The Philippines Project,UC1MNjDRpoEsl_tiogaRYt1A,2,Yes,Yes,Yes,Yes,No,yes
Challys Journey,UC1OKXpUlKSN4smvMssu7UBg,10,No,Yes,Yes,Yes,No,yes
Flying Kell,UC1PwIaB8KklVK5iZqbtZErA,12,Yes,Yes,Yes,Yes,Yes,yes
Dr Laway,UC1Uvuror_cl9cRcl3h8QhSg,2,Yes,Yes,Yes,Yes,Yes,yes
AlixGrace,UC1Vtf3OTZatknIne-a-5LKg,4,Yes,Yes,Yes,Yes,Yes,yes
Zeta’s Momma and Dada,UC1WRWKFPce0M6elipGZ8eMg,2,Yes,Yes,Yes,Yes,No,yes
Asian Boss,UC2-_WWPT_124iN6jiym4fOw,4,No,No,Yes,No,No,no
JSB PINAY VLOGS,UC211QaCtk9p37_-cvtN3kxg,4,Yes,Yes,Yes,Yes,Yes,yes
C Pas,UC23dOMkDdz7LJF34Ui3goJA,7,Yes,Yes,No,No,No,no
123JAPAN!,UC23SG4XKkSrbhz-bZ2f5Mfw,32,Yes,Yes,Yes,Yes,Yes,yes
Rob Wanders,UC24QUYgHDRVPq-CqzDAXDcQ,4,Yes,Yes,Yes,Yes,Yes,yes
Lifey,UC25HBOBYfc-scqCQcyYKVNw,7,No,Yes,Yes,Yes,Yes,yes
1997meggers,UC2bhD7AMh9a9uwz9_0JZZWw,2,No,No,No,No,No,no
Almost Polyglot,UC2dqBC-sMDS2d6RYlcihEmw,2,No,Yes,Yes,Yes,No,yes
Yo!,UC2fOfXH87lynFQkzRcYEQ4A,8,No,Yes,No,No,No,no
Namastejuli,UC2gZh8iGgLI7xLkxaoMkKSg,2,No,No,No,No,No,no
