Video Id,Video Title_x,Channel Id_x,Channel Title_x,Video Tags_x,Channel Country_x
9sMmTC9x6wc,European tried Filipino fruit salad (dessert) for the first time.,UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,[],Unknown
laMjQjbAHPg,Foreigners React to Kathniel Filipino Loveteam,UC-BKXdCFnPmTpljrxxYu7dQ,IFCGuam,"['abscbn', 'Filipino Love team', 'Filpino reaction video', 'Daniel Padilla', 'Kathryn Bernardo', 'Filipino reaction', 'Reacts to filipino loveteam', 'Non-Filipinos react to Kathniel loveteam', 'Kathniel', 'Foreigners react to Kathniel', 'Kathniel ABSCBN', 'Kathniel Loveteam']",Unknown
h9Sz_ruSRS8,Foreigners React to Lizquen Filipino Loveteam,UC-BKXdCFnPmTpljrxxYu7dQ,IFCGuam,"['Lizquen', 'Liza Soberano', 'Enrique Gil', 'Everyday I love you', 'Foreigners react to Filipino Teen stars', 'Foreigners react to filipino love team', 'lizquen loveteam', 'Foreigners react to Liza and Enrique', 'Foreigners react to Everyday I love you', 'Flipino reaction video', 'Reacts to filipino', 'Filipino', 'Filipino love teams', 'Flipino love team lizquen', 'Non-flipinos react to lizquen', 'lizquen mania', 'lizquen fans', 'non-filipinos react to filipino movie', 'filipino movie', 'abscbn']",Unknown
U6_5bg5108o,AMERICAN REACTS TO FILIPINOS DURING A TYPHOON!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean reacts', 'filipino singers that went viral', 'filipino singers that went viral reaction', 'filipinos singing', 'filipinos during typhoon', 'filipinos in a typhoon', 'american', 'reaction', 'reacts', 'funny', 'philippines', 'philippines reaction', 'pinoy', 'pinoy reaction', 'filipino foreign reaction', 'filipino foreign reactor', 'foreign pinoy', 'foreign pinoy reaction', 'bagyo ka lang pinoy kami', 'bagyo ka lang pinoy kami reaction', 'filipino typhoon', 'filipino typhoon reaction', 'foreign reaction']",US
gqwRdGC87hY,FILIPINO SINGERS THAT WENT VIRAL IN 2020 UPDATED | REACTION!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean tyler reactions', 'filipino singers 2020', 'filipino singers reaction', 'filipino singers that went viral reaction', 'filipino singers that went viral 2020', 'filipino singers that went viral 2020 reaction', 'filipino singers 2020 reaction video', 'unknown singer reactions', 'viral filipino singers', 'viral filipino singers reaction', 'filipino singers that went viral 2020 updated reaction', 'filipino singers that went viral 2020 updated', 'american', 'reaction', 'reacts']",US
A6G0NXmETR4,CRAZY!!! | Philippines Gilas vs Australia brawl | FIBA World Cup 2019 | AMERICAN REACTION!!!,UC-VUzVsTFTXMU7aSf-lEsiA,Rare Soul Worldwide,"['sean tyler tv', 'sean tyler reactions', 'the commodity', 'culture', 'travel', 'malaysia', 'indonesia', 'fiba', 'fiba asia', 'fiba world cup 2019 asian qualifiers', 'gilas pilipinas', 'philippines vs. australia', 'sports', 'espn5 basketball', 'brawl', 'react to philippines', 'philippines reaction', 'gilas vs australia fight', 'insane brawl between australia vs gilas', 'gilas pilipinas vs australia fight', 'insane fight between philippines vs australia', 'phillipines vs australia fight reaction', 'gilas vs australia fight reaction']",US
wV_suE18nfA,"Foreigner is trying Filipino pastry - UBE Pandesal, Buko pie (Filipino bakery)",UC-ZBaZ53_4a9DU0HM0T2hyg,Savory Stories,"['Celebrities VS Filipino', 'FOREIGNERS Trying FILIPINO food', 'philipines', 'filipino food', 'sinigang', 'kare kare', 'travel', 'food review', 'food', 'rice cake', 'philippines', 'philippines travel', 'living in the philippines', 'best ever food review show', 'sinigang recipe', 'pork sinigang', 'beef bulalo', 'filipino', 'filipino celebrities', 'bicol express', 'pastry', 'ube pandesal', 'filipino bakery', 'pandesal', 'mukbang', 'eating show', 'philippines food', 'filipino street food', 'top Filipino food', 'street food', 'filipino family']",PH
U8CJ_pQWIQ4,Foreigner is trying filipino food. Filipino breakfast for a first time - FRIED DRIED FISH REACTION!,UC-ZBaZ53_4a9DU0HM0T2hyg,Savory Stories,"['Celebrities VS Filipino', 'filipino food', 'kare kare', 'lechon', 'travel', 'traveler', 'food review', 'filipino dishes', 'food', 'living in the philippines', 'how to cook bulalo', 'beef bulalo', 'lechon belly', 'filipino celebrities', 'bicol express', 'breakfast', 'filipino breakfast', 'filipino', 'filipino food reaction', 'philippines', 'philippines travel', 'philippines vlog', 'mr sky-foodie guy', 'mr sky foodie guy', 'mr sky tries food', 'mr sky filipino food review', 'filipino breakfast with mr sky', 'filipino food review']",PH
NV1BgbU9K4I,"PHILIPPINE IMMIGRATION UPDATE NEWS!  VISAS, ANNUAL REPORT, TAXES, MORE!",UC-jq_OD2e2xIcm5RdTrBcNg,Amazing Philippines,"['living in the philippines', 'living in the philippines as an american', 'living in the philippines as an expat', 'philippines travel update', 'foreigners annual report', 'expats annual report', 'Philippines', 'Cebu', 'Cebu City', 'cheap flights', 'retirement planning', 'retire overseas', 'best places to live', 'cheapest places to retire']",US
jsv1yjFjZx0,COST OF LIVING IN THE PHILIPPINES.  AN HONEST DISCUSSION.,UC-jq_OD2e2xIcm5RdTrBcNg,Amazing Philippines,"['cost of living', 'life in the philippines', 'philippines travel vlog', 'living in the philippines', 'philippines vlog', 'live in the philippines', 'cost of living in philippines', 'cebu city', 'cost of living crisis', 'cost of living in thailand', 'cost of living philippines', 'life in the philippines province', 'living in the philippines as an expat', 'living in the philippines on a budget', 'Philippines', 'Cebu', 'Manila', 'Dumaguete', 'expat news', 'how to save money', 'best places to live', 'cheapest places to live']",US
