Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
z9f12-_t544,Waleska & Efra react to BEST FILIPINO STREET SINGERS of 2020!!! |1/2,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['Street Singing Superstar', 'Graham Caygill', 'Filipino Singer', 'Filipino Singers', 'Street Singers', 'Ricel Luanzon', 'intramuros singers', 'finding singers in intramuros', 'ricel luanzon superstar', 'finding singers', 'Filipino singers in intramuros', 'graham caygill show', 'can Filipinos sing?', 'top 10 filipino singers', 'filipino viral', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'Viral Filipino', 'Talented pinoys']",GB
PWtX4wDu7Uk,Waleska & Efra react to Filipino Students PERFECT cover of BEN & BEN,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'viral video', 'youtube viral video', 'filipino viral', 'Regine Velasquez', 'OPM', 'Philippines', 'Filipino', 'sa inuman', 'karaoke', 'zack tabudlo', 'filipino kid', 'foreigner reacts to philippines', 'harana', 'morissette', 'kz tandingan', 'listen', 'beyonce', 'tiktok', 'filipino tiktok', 'Pinoy', 'Pinoy Trending', 'Pilipinas Trending', 'Trending Philippines', 'Viral Philippines', 'Pilipinas TV', 'PilipinasTV']",GB
rSlt7kxx1fk,Waleska & Efra react to The Evolution Of Filipino Music (1500 -2020),UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['regine velasquez', 'regine velasquez dadalhin live', 'regine velasquez live', 'live concert', 'regine concert', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'Feature Friday', 'Waleska Herrera', 'FEATURE FRIDAY EFRA', 'LATINOS REACT', 'philippines', ""asia's songbird"", 'regine wish', 'wish regine v', 'araw gabi', 'araw-gabi', 'regine song', 'opm', 'bamboo', 'react', 'tatsulok', 'filipino', 'viral', 'tiktok', 'filipina', 'jaya', 'sarah geronimo', 'kyla', 'moira de la torre', 'gary v', 'reaction', 'filipino singers']",GB
T1jJIhxXq-4,Dad Reacts to Philippines New Gen Divas for the first time | Zephanie | Elha Nympha | Janine Berdin,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['Kapamilya Trending', 'Trending', 'Trending Videos', 'ASAP', 'ASAP Natin To', 'ASAP Sarah Geronimo', 'ASAP Bamboo', 'ASAP Natin To Bamboo', 'ASAP 2021', 'KT', 'KTrending', 'Viral', 'Viral Videos', '20210425kt', 'April 25 2021', 'ASAP Natin To April 25', 'ASAP performance', 'ASAP Performance 2021', 'YT0psJulia', 'ASAP April 25 performances', 'ASAP Online', 'Kapamilya Online Shows', 'OPM asap', 'Elha Nympha', 'Janine Berdin', 'Sheena Belarmino', 'Zephanie Dimaranan', 'New Gen Divas', 'New Gen', 'New Generation', 'Highlights', 'reaction', 'waleska']",GB
vgPFgIilI9A,"Latinos react to FILIPINO REGGAE FOR THE FIRST TIME| Chocolate Factory ""Kung Ika'y Akin"" LIVE",UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['wish fm 107.5', 'wish fm', 'wish1075', 'wish 1075', 'wish radio', 'road show', 'roadshow', 'wish', 'live performance', 'unplugged', 'philippines', 'radio station', 'fm', 'wish fm bus', 'wish bus', 'wish 1075 bus', 'wish fm 107.5 bus', 'Wishclusive', 'chocolate factory', 'wish chocolate factory', 'kung ikay akin', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'filipino reggae']",GB
hT3yEHLX53g,Filipino Singers that went VIRAL on TikTok in 2022 | Latinos react,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'feature Friday', 'FEATURE FRIDAY REVIEW', 'Waleska Herrera', 'FEATURE FRIDAY EFRA', 'FEATURE FRIDAY CLIPS', 'vocal coach reacts', 'top 10', 'top 10 filipino singers', 'top ten reaxtion video', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral']",GB
K-rtaegZYkE,The Filipino After Dinner Singing Menace| Waleska & Efra react to Limuel LLanes - Air Supply (cover),UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'SIBLINGS REACT', 'LATINOS REACT', 'Feature Friday', 'Reaction', 'FEATURE FRIDAY REVIEW', 'Waleska Herrera', 'vocal coach reacts', 'top 10 filipino singers', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'Regine Velasquez', 'Lea Salonga', 'OPM', 'Philippines', 'Filipino', 'sa inuman', 'karaoke', 'zack tabudlo', 'arthur nery', 'filipino kid', 'foreigner reacts to philippines', 'harana', 'morissette', 'kz tandingan', 'listen', 'beyonce', 'tiktok', 'filipino tiktok', 'Pinoy']",GB
lFDIdJ71AWQ,Juan Karlos is the SH*T! Waleska & Efra React to Juan Karlos - Ere for the first time,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['juan karlos', 'ere', 'reaction', 'waleska', 'latinos react', 'feature friday', 'efra', 'juan karlos reaction', 'filipino song', 'opm', 'philippines', 'filipino rock', 'filipino viral songs']",GB
S1ITUnYLqOQ,Latinos react Katrina Velarde SINGING in PERFECT SPANISH - Oye Beyonce (Cover),UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'Feature Friday', 'Waleska Herrera', 'FEATURE FRIDAY EFRA', 'katrina velarde', 'tiktok compilation', 'katrina reaction', 'Katrina Velarde', 'Cover', 'philippines', 'REACTION', 'latinos react', 'cover']",GB
Gv4rx62PbGA,Proof that all Filipinos CAN speak Spanish! Latinos react to 'Almond Pondevida' Luis Miguel COVER,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'Feature Friday', 'Waleska Herrera', 'FEATURE FRIDAY EFRA', 'vocal coach reacts', 'top 10', 'top 10 filipino singers', 'top ten reaxtion video', 'who went viral', 'viral video', 'youtube viral video', 'filipino viral', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'FEATURE FRIDAY REVIEW']",GB
